A00,A01,A11
0,0,0
0.942809041582063,9.8130778667736E-18,0.942809041582064
4.4783429475148,-1.79424977488553E-17,4.4783429475148
10.3958152801713,2.81458256229943,13.6458152801713
22.5261062685913,4.25795823527349,27.442772935258
41.3250961418147,5.99000904284237,48.2417628084813
68.2069984622144,8.01073498500606,77.4569984622144
104.586026792164,10.3201360617646,116.50269345883
151.876394694035,12.9182122731179,166.793061360702
211.492315730203,15.804963619066,229.742315730203
284.848003463039,18.9803900996089,306.764670129706
373.357671454917,22.4444917147467,399.274338121584
478.43553326821,26.1972684644792,508.68553326821
601.495802465291,30.2387203488066,636.412469131958
743.952692608534,34.5688473677288,783.8693592752
907.22041726031,39.1876495212458,952.47041726031
1092.71318998299,44.0951268093577,1143.62985664966
1301.84522433896,49.2912792320643,1358.76189100562
1536.03073389058,54.7761067893658,1599.28073389058
1796.68393220022,60.549609481262,1866.60059886689
2085.21903283026,66.6117873077531,2162.13569949693
2403.05024934308,72.962640268839,2487.30024934308
2751.59179530105,79.6021683645197,2843.50846196771
3132.25788426653,86.5303715947952,3232.17455093319
3546.4627298019,93.7472499596656,3654.7127298019
3995.62054546954,101.252803459131,4112.53721213621
4481.14554483182,109.047032093191,4607.06221149848
5004.45194145111,117.129935861845,5139.70194145111
5566.95394888978,125.501514765095,5711.87061555645
6170.06578071021,134.161768802939,6324.98244737688
6815.20165047477,143.110697975378,6980.45165047477
7503.77577174584,152.348302282412,7679.6924384125
8237.20235808578,161.874581724041,8424.11902475245
9016.89562305697,171.689536300265,9215.14562305697
9844.26978022179,181.793166011083,10054.1864468885
10720.7390431426,192.185470856496,10942.6557098093
11647.7176253818,202.866450836505,11881.9676253818
12626.6197405017,213.836105951107,12873.5364071684
13658.8596020647,225.094436200305,13918.7762687314
14745.8514236333,236.641441584098,15019.1014236333
15889.0094187697,248.477122102485,16175.9260854363
17089.7478010363,260.601477755467,17390.6644677029
18349.4807839955,273.014508543044,18664.7307839955
19669.6225812097,285.716214465216,19999.5392478764
21051.5874062413,298.706595521983,21396.5040729079
22496.7894726526,311.985651713344,22857.0394726526
24006.642994006,325.553383039301,24382.5596606726
25582.5621838638,339.409789499852,25974.4788505305
27225.9612557886,353.554871094998,27634.2112557885
28938.2544233425,367.988627824738,29363.1710900091
30720.855900088,382.711059689074,31162.7725667547
32575.1798995875,397.722166688004,33034.4298995875
34502.6406354033,413.021948821529,34979.55730207
36504.6523210979,428.610406089649,36999.5689877645
38582.6291702335,444.487538492364,39095.8791702335
40737.9853963726,460.653346029674,41269.9020630392
42972.1352130775,477.107828701578,43523.0518797441
45286.4928339106,493.850986508077,45856.7428339106
47682.4724724343,510.882819449172,48272.389139101
50161.488342211,528.20332752486,50771.4050088776
52724.9546568029,545.812510735144,53355.2046568029
