A00,A01,A02,A11,A12,A22
0.012345679012346,-0.02138334330332,0.027605777499997,0.018518518518519,0.023907304606219,0.006172839506173
0.08641975308642,-0.149683403123236,0.193240442499982,0.12962962962963,0.16735113224353,0.04320987654321
1.60262352286613,-1.41503111915855,1.23134180744313,2.14360019942311,1.16900144051435,1.00733885019218
5.38975255605373,-2.92996288976963,2.18880514394552,7.00948125478414,2.49503769439463,4.29554643994126
10.4685712760793,-2.33411870849667,4.09519121427652,15.0274274376454,6.55588961324315,12.6096228438074
21.7261363488809,-3.57506845261189,5.86800958085566,28.8395724579198,9.79247967516965,24.9031315571107
39.7869098500109,-6.17742099652084,9.66973392028383,49.9687616754671,14.8797504061251,43.8006932038726
64.1812908828784,-8.18675942165562,12.5345085437741,77.8766465924779,19.6329646813686,69.4961769817339
96.770886591042,-10.4671793937459,15.7644204316264,114.465985496512,25.0184207780925,103.560197163381
138.710619892687,-13.0182962703138,19.3596680753505,160.890979490489,31.0358174879584,147.147732078131
191.155300371375,-15.8398911347747,23.3203722805155,218.306031722027,37.6849935589671,201.413628978659
255.259685503448,-18.9318304135559,27.6466110493345,287.865654076764,44.9658561772331,267.512671684266
332.178507019636,-22.2940279991626,32.3384371307435,370.724421344785,52.8783487131967,346.599610836867
423.066483184353,-25.9264258613053,37.3958875474876,468.036946847587,61.4224349170276,439.829178599049
529.078324888179,-29.8289834357719,42.8189890908254,580.957868628422,70.5980906337736,548.356096289974
651.368738830984,-34.001671488193,48.6077616500991,710.641841211376,80.4052992099239,673.335078580075
791.09242925791,-38.4444683978302,54.7622203149467,858.243530466681,90.8440488229566,815.92083590677
949.404098940796,-43.1573578168975,61.2823767494751,1024.91761029262,101.914330864397,977.268075923226
1127.45844975012,-48.1403271457015,68.1682401176297,1211.81876040333,113.616138925607,1158.53150439835
1326.410182997,-53.3933665097486,75.4198177225873,1420.10166481362,125.949468141667,1360.86582579342
1547.41399964209,-58.9164680557685,83.0371154586129,1650.92101077631,138.914314755163,1585.42574364176
1791.6246004256,-64.7096254561486,91.0201381367924,1905.43148802142,152.510675819045,1833.36596080487
2060.19668594936,-70.7728335530084,99.368889724029,2184.7877882012,166.738548989782,2105.84117964913
2354.28495672922,-77.1060880979424,108.083373521195,2490.14460447867,181.597932380511,2404.00610216996
2675.04411322886,-83.7093855586253,117.163592297834,2822.65663121802,197.088824454938,2729.01543008081
3023.62885588158,-90.5827229729993,126.609548395327,3183.47856374839,213.21122394942,3082.02386487787
3401.19388510456,-97.7260978378746,136.421243806847,3573.76509818161,229.965129814918,3464.18610788784
3808.89390130794,-105.139508022794,146.598680239981,3994.67093126981,247.350541173153,3876.65686030377
4247.88360490075,-112.822951702694,157.141859166274,4447.35076029327,265.367457283089,4320.59082321219
4719.31769629451,-120.776427304733,168.050781860768,4932.95928297097,284.015877515016,4797.14269761385
5224.35087590555,-128.999933465903,179.325449433837,5452.65119738895,303.295801330296,5307.46718443997
5764.13784415619,-137.493468998959,190.965862857007,6007.58120194219,323.207228265386,5852.71898456477
6339.83330147548,-146.257032864808,202.972022984057,6598.90399528731,343.750157919115,6434.05279881551
6952.59194829937,-155.29062414997,215.343930568377,7227.77427630365,364.924589942467,7052.62332798042
7603.56848507068,-164.594242048046,228.08158627733,7895.34674406122,386.730524030322,7709.58527281513
8293.91761223891,-174.167885844397,241.184990704222,8602.77609779395,409.167959914717,8406.09333404779
9024.79403025994,-184.011554903383,254.654144378315,9351.21703687737,432.236897359315,9143.30221238335
9797.35243959565,-194.125248657688,268.48904777326,10141.8242608099,455.937336154847,9922.36660850699
10612.7475407136,-204.508966599337,282.689701314226,10975.7524691968,480.269276115309,10744.441223087
11472.1340340864,-215.162708272096,297.256105383963,11854.1563617372,505.232717074798,11610.6807567771
12376.6666201918,-226.086473265024,312.188260327968,12778.190638212,530.827658884847,12522.2399102186
13327.4999995117,-237.280261206959,327.48616645892,13749.0099984745,557.054101412175,13480.2733840418
14325.7888725325,-248.744071761801,343.149824060492,14767.7691424418,583.912044536781,14485.9358788676
15372.6879397442,-260.47790462445,359.179233390642,15835.6227700876,611.401488150318,15540.3820953086
16469.3519016401,-272.481759517299,375.574394684467,16953.7255814358,639.522432154699,16644.7667339703
17616.9354587172,-284.755636187193,392.335308156687,18123.232276555,668.274876460905,17800.2444954515
18816.593311475,-297.299534402786,409.461974003803,19345.2975555539,697.658820987951,19007.9700803458
20069.4801604161,-310.113453952231,426.954392405998,20621.076118577,727.674265661995,20269.0981892414
21376.7507060452,-323.197394641165,444.812563528792,21951.7226658009,758.321210415557,21584.7835227224
22739.5596488696,-336.551356290934,463.036487524512,23338.3918974311,789.599655186852,22956.1807813687
24159.0616893986,-350.175338737031,481.626164533577,24782.2385136994,821.509599919189,24384.4446657569
25636.4115281435,-364.069341827719,500.581594685646,26284.4172148609,854.051044560457,25870.7298764602
27172.7638656174,-378.233365422815,519.902778100625,27846.0827011922,887.223989062669,27416.1911140491
28769.273402335,-392.667409392601,539.589714889571,29468.3896729894,921.028433381558,29021.9830790915
30427.0948388125,-407.371473616869,559.642405155492,31152.4928305659,955.46437747622,30689.2604721532
32147.3828755675,-422.345557984061,580.06084899407,32899.5468742515,990.5318213088,32419.1779937977
33931.2922131192,-437.589662390498,600.845046494292,34710.7065043902,1026.23076484421,34212.8903445865
35779.9775519876,-453.103786739704,621.994997739034,36587.1264213398,1062.56120804989,36071.5522250798
37694.593592694,-468.88793094178,643.510702805575,38529.9613254702,1099.52315089555,37996.3183358359
39676.2950357607,-484.942094912856,665.392161766059,40540.3659171623,1137.11659335302,39988.3433774118
41726.2365817111,-501.266278574593,687.639374687918,42619.4948968075,1175.34153539604,42048.7820503632
