Dl = 0,Dl = 1,Dl = 2,Dl = 3,Dl = 4,Dl = 5,Dl = 6,Dl = 7,Dl = 8,Dl = 9,Dl = 10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0068011743267224e-8,1.9973434148434843e-8,2.626203496158346e-8,2.9976259509769484e-8,3.22945347094704e-8,3.3808087785272e-8,3.48460857401293e-8,3.558406880534704e-8,3.612685950201177e-8,3.653650564572741e-8,3.6853157563772325e-8
2.8514292295905104e-8,5.843157234458457e-8,7.82756673918172e-8,9.039232931741553e-8,9.812862614599948e-8,1.0326734506399654e-7,1.0683723787830856e-7,1.0940178178489444e-7,1.113035857270682e-7,1.1274880076531313e-7,1.1387228578551279e-7
3.204286149134773e-8,6.710547522156507e-8,9.133564321035535e-8,1.0658713862500303e-7,1.1656014217857675e-7,1.2330537751379366e-7,1.280600923928171e-7,1.3151557537415806e-7,1.341029409066301e-7,1.3608483952799308e-7,1.376360739429654e-7
3.370330192084649e-8,7.135612164860154e-8,9.791075085025861e-8,1.149427741697648e-7,1.262524565673661e-7,1.3400173571958657e-7,1.3952298814199915e-7,1.4357236425805362e-7,1.4662783347927505e-7,1.4898397455657105e-7,1.5083873608394304e-7
3.442279540686675e-8,7.333589558262291e-8,1.0113509946840361e-7,1.1920091942742323e-7,1.3133660959304643e-7,1.397382854685324e-7,1.4577775619650184e-7,1.5024207751759935e-7,1.53633529769837e-7,1.5626453538940731e-7,1.583465759213213e-7
3.478059212983064e-8,7.437314209348587e-8,1.0289276879559531e-7,1.215971161250582e-7,1.3426963099678004e-7,1.431135488307363e-7,1.4951638702600555e-7,1.5428008756500698e-7,1.579197558353289e-7,1.6075801698097355e-7,1.6301443909738373e-7
3.497794011168576e-8,7.496822032123014e-8,1.0393363813683155e-7,1.2305429557409031e-7,1.360916450656259e-7,1.4524678640480308e-7,1.519127494660666e-7,1.5689859006046632e-7,1.6072627367095226e-7,1.6372436475719665e-7,1.6611737034731633e-7
3.50955709398913e-8,7.533400372029439e-8,1.0459041002514108e-7,1.239946471798914e-7,1.3728916482207948e-7,1.4667013887338335e-7,1.5353172736865861e-7,1.5868621671307067e-7,1.6265924696672973e-7,1.6578286802347242e-7,1.6828465259693512e-7
3.517000844295107e-8,7.557126511860722e-8,1.0502596742596647e-7,1.246303788815478e-7,1.3811168482005776e-7,1.4766072830311432e-7,1.5467097574949958e-7,1.599559743050142e-7,1.6404329566520115e-7,1.6726702904786134e-7,1.6985666728949354e-7
3.5219401313086225e-8,7.57319261452374e-8,1.0532660355917886e-7,1.2507653529090842e-7,1.3869693921597827e-7,1.4837375376527837e-7,1.554990829679856e-7,1.6088673860794628e-7,1.650652528346947e-7,1.683698875288644e-7,1.710313386872454e-7
3.525346253887019e-8,7.584461223043188e-8,1.055410335384819e-7,1.2539939853212546e-7,1.391255970264692e-7,1.4890133139419958e-7,1.5611718485300543e-7,1.6158674463350047e-7,1.6583895636459343e-7,1.6920972939040007e-7,1.7193050576440357e-7
3.5277711838287654e-8,7.59259993338668e-8,1.0569822552110979e-7,1.2563910442433398e-7,1.3944723944113252e-7,1.4930077704408508e-7,1.5658884105618092e-7,1.621245717834849e-7,1.6643701997282678e-7,1.698624223182258e-7,1.7263267150834746e-7
3.529544495907956e-8,7.59862562914914e-8,1.0581616649792303e-7,1.258209828118694e-7,1.396935840680245e-7,1.496091716875645e-7,1.5695555581574677e-7,1.6254534764074627e-7,1.6690753141733837e-7,1.7037847610765834e-7,1.7319033248436628e-7
3.530871299899419e-8,7.60318272169586e-8,1.0590644051534656e-7,1.259615874967553e-7,1.398856163348158e-7,1.498513038312292e-7,1.5724531427046128e-7,1.6287971978328792e-7,1.672833459884815e-7,1.7079257616152496e-7,1.7363969328900527e-7
3.531883821941368e-8,7.606693222603782e-8,1.0597674488152103e-7,1.2607206486838957e-7,1.4003762613913736e-7,1.5004421318909968e-7,1.5747750693451857e-7,1.631490660337529e-7,1.6758751188332416e-7,1.7112917212078768e-7,1.7400637994596994e-7
3.5326699268391584e-8,7.609441456010228e-8,1.0603233454951734e-7,1.261601167463338e-7,1.4015958896087724e-7,1.5019989802295172e-7,1.57665887771618e-7,1.6336864466685527e-7,1.6783656760594928e-7,1.7140588869664604e-7,1.7430893853496694e-7
3.533289561285237e-8,7.611623786595318e-8,1.0607688294020263e-7,1.2623118639883865e-7,1.4025862118941175e-7,1.5032698570228051e-7,1.5782041368514214e-7,1.6354956579385811e-7,1.6804261603423408e-7,1.7163567996713263e-7,1.7456105232546513e-7
3.533784582416079e-8,7.613378822439443e-8,1.0611301202997733e-7,1.262891982135342e-7,1.40339897514463e-7,1.5043179526546931e-7,1.5794842320730814e-7,1.6370006225247053e-7,1.682146681525105e-7,1.7182823073729282e-7,1.7477298877093697e-7
3.5341848214947684e-8,7.614806315903262e-8,1.061426282983696e-7,1.263370320083021e-7,1.4040724510781306e-7,1.505190314519959e-7,1.5805541179489868e-7,1.6382633040015947e-7,1.6835953629066874e-7,1.7199089174209626e-7,1.7495256828588374e-7
3.534511930861159e-8,7.615979309002535e-8,1.061671411346883e-7,1.2637683476803553e-7,1.4046353780614843e-7,1.505922487776726e-7,1.5814555368285095e-7,1.6393309917243363e-7,1.684824414491358e-7,1.721293179118987e-7,1.7510582750772644e-7
