Dl = 0,Dl = 1,Dl = 2,Dl = 3,Dl = 4,Dl = 5,Dl = 6,Dl = 7,Dl = 8,Dl = 9,Dl = 10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0241512759728156e-9,4.602162954087928e-9,6.572926374681304e-9,7.87537791215245e-9,8.752805374167892e-9,9.357030380741358e-9,9.78841954446789e-9,1.0104767481044902e-8,1.0343341468704093e-8,1.0527114035016865e-8,1.06716457461597e-8
7.2305470029212395e-9,1.60480865856661e-8,2.2818923459575106e-8,2.7380081403788365e-8,3.053817991358978e-8,3.2772995484988454e-8,3.4412518677164556e-8,3.5645360530264226e-8,3.6597525202743654e-8,3.7347157311047e-8,3.7948964955285677e-8
9.631360359171782e-9,2.033349896131579e-8,2.7945029407682687e-8,3.274795505850798e-8,3.589909840056024e-8,3.802889102995916e-8,3.95307649389905e-8,4.0621654770126723e-8,4.143873545916473e-8,4.2064614470310196e-8,4.255478508389203e-8
1.1796841992548203e-8,2.441500732596563e-8,3.319329221211108e-8,3.866443047660533e-8,4.222319080699149e-8,4.461389916457531e-8,4.629186491437835e-8,4.750623952241428e-8,4.841311339770054e-8,4.910609472564699e-8,4.96477041626277e-8
1.3322929813144714e-8,2.7152246386316358e-8,3.662714936590911e-8,4.248410224430579e-8,4.6272848898524535e-8,4.880847505741954e-8,5.058316341782888e-8,5.186483752702689e-8,5.282037535929723e-8,5.3549579565051247e-8,5.4118877591837074e-8
1.4457653018651778e-8,2.9109985832037446e-8,3.904201345272672e-8,4.514745949578404e-8,4.9082582541872714e-8,5.1709793725018805e-8,5.354534914295154e-8,5.486927304728733e-8,5.585532166523151e-8,5.660722367696539e-8,5.719386935200428e-8
1.5335198522609487e-8,3.057731986674504e-8,4.083050690771143e-8,4.7108667415123705e-8,5.114489047454892e-8,5.3835167801136e-8,5.5712579835199055e-8,5.706554651890263e-8,5.8072569850140716e-8,5.8840080729754647e-8,5.943866115434195e-8
1.6034505510967598e-8,3.171679275875859e-8,4.2207420229560636e-8,4.861240627120391e-8,5.2722616303776765e-8,5.545899788670878e-8,5.736700509400164e-8,5.8741207557613786e-8,5.976357407552323e-8,6.054250840500275e-8,6.114982708102284e-8
1.6605096553657702e-8,3.262657178666592e-8,4.329975880952363e-8,4.98017690811599e-8,5.396848108581559e-8,5.6740068728621195e-8,5.8671447982409806e-8,6.006188156404178e-8,6.10959809713784e-8,6.188365444622006e-8,6.249766017554537e-8
1.7079644441994392e-8,3.33693495828284e-8,4.41872931944345e-8,5.0765903223721834e-8,5.497719051504945e-8,5.777656457374146e-8,5.97264008965649e-8,6.112965969031286e-8,6.21730340056569e-8,6.296761812884577e-8,6.358691294085873e-8
1.74805940626929e-8,3.398699490322998e-8,4.492259411803421e-8,5.1563199963485694e-8,5.5810564437561e-8,5.863244231591921e-8,6.059723603065012e-8,6.201089384087415e-8,6.306179127745806e-8,6.386198228054355e-8,6.448556898280954e-8
1.7823883442070188e-8,3.45085120386736e-8,4.554169045226338e-8,5.22334887787713e-8,5.65106610888645e-8,5.9351145734113e-8,6.132831399484728e-8,6.275057929025866e-8,6.38077057208842e-8,6.461254008579234e-8,6.523968152031867e-8
1.8121147494841963e-8,3.495461613302044e-8,4.6070089535109286e-8,5.280486339613271e-8,5.7107085647017466e-8,5.996321806062965e-8,6.19507986439184e-8,6.338030964994897e-8,6.444268099476042e-8,6.525142582884512e-8,6.588156117675828e-8
1.838108136355246e-8,3.534048932006654e-8,4.652635093513464e-8,5.3297704761898457e-8,5.7621280335155036e-8,6.04907595575489e-8,6.248722572161988e-8,6.392292235435846e-8,6.498977228737262e-8,6.580185673976983e-8,6.643454912500939e-8
1.8610315445258228e-8,3.567750783743259e-8,4.69242982857715e-8,5.372715651861884e-8,5.8069155933238986e-8,6.095015648632739e-8,6.295429632636322e-8,6.439533671810296e-8,6.546605648071349e-8,6.628102699265301e-8,6.691592927550932e-8
1.8813994945504333e-8,3.597436142731235e-8,4.7274437756372384e-8,5.4104705093488736e-8,5.84627671966995e-8,6.135381589206638e-8,6.336465092845057e-8,6.481035507461529e-8,6.588445282519105e-8,6.670194289175684e-8,6.733877454517317e-8
1.899617431421265e-8,3.623780031760197e-8,4.7584896050558357e-8,5.443922053221715e-8,5.8811414192069514e-8,6.17113045248618e-8,6.372803311083537e-8,6.51778436777132e-8,6.625491620869144e-8,6.707462533262198e-8,6.771315634287951e-8
1.9160092147623877e-8,3.647314653735498e-8,4.786205746703787e-8,5.473766113243076e-8,5.912238660036557e-8,6.20301177388025e-8,6.405207470423495e-8,6.55055290672434e-8,6.658524161986596e-8,6.740692028687889e-8,6.804695965801447e-8
1.930836683633161e-8,3.668465185483799e-8,4.811100684662017e-8,5.5005562053003407e-8,5.940147908115195e-8,6.231621141771374e-8,6.434283864610272e-8,6.579954849433284e-8,6.688162003133338e-8,6.770505874568613e-8,6.834644610928297e-8
1.9443138423594588e-8,3.687575338544689e-8,4.833584402136906e-8,5.524738138647151e-8,5.965335583888411e-8,6.257437797543445e-8,6.460520253163776e-8,6.60648387005978e-8,6.714903095160753e-8,6.79740520790922e-8,6.861665145185011e-8
