Dl = 0,Dl = 1,Dl = 2,Dl = 3,Dl = 4,Dl = 5,Dl = 6,Dl = 7,Dl = 8,Dl = 9,Dl = 10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.293059393004277e-8,2.649159848182476e-8,3.55517943029082e-8,4.1112403487726465e-8,4.467688846065505e-8,4.7050190205189723e-8,4.8702016658077274e-8,4.9889984627364495e-8,5.077179113623622e-8,5.144226905312168e-8,5.196375822318783e-8
1.8120603116057063e-8,3.7712748071309177e-8,5.110663006506913e-8,5.9500913906811146e-8,6.496607030263622e-8,6.865072795293505e-8,7.124057436747198e-8,7.311834514153997e-8,7.452145352433487e-8,7.559433321622116e-8,7.643276870263436e-8
1.9810542498277058e-8,4.209758207864832e-8,5.797397620417648e-8,6.824937342191808e-8,7.51170957125175e-8,7.984311101239655e-8,8.322137423781566e-8,8.570441160511457e-8,8.758128673439474e-8,8.903027874183415e-8,9.01720758459004e-8
2.0226341419100528e-8,4.3257187446547854e-8,5.98875619716919e-8,7.079615243252058e-8,7.817286465871386e-8,8.330105766410828e-8,8.6998802701517e-8,8.973718341136475e-8,9.182052040831008e-8,9.343804760745655e-8,9.471896755624041e-8
2.0418657959853807e-8,4.382480910910378e-8,6.086336577022239e-8,7.213796815489826e-8,7.982460454928921e-8,8.520849053241208e-8,8.911654682458448e-8,9.202802214609834e-8,9.42547696568317e-8,9.599184667177267e-8,9.73732323730631e-8
2.0521601604260154e-8,4.414150201237672e-8,6.142557380256968e-8,7.293184789439196e-8,8.082300801904953e-8,8.638171615099122e-8,9.043782283979239e-8,9.347423906766161e-8,9.580671157258095e-8,9.763356327885417e-8,9.909160109213325e-8
2.058220431123916e-8,4.43338498879173e-8,6.177595724769787e-8,7.343764107572123e-8,8.147076247335958e-8,8.715445221715329e-8,9.13190503098261e-8,9.444901694248179e-8,9.686212603295483e-8,9.875857300484645e-8,1.0027688307844971e-7
2.0620383001714234e-8,4.445801648771384e-8,6.200700081041204e-8,7.377744494549822e-8,8.191278007574417e-8,8.768872772072662e-8,9.193512607711908e-8,9.513695837750685e-8,9.761302712809189e-8,9.95646044908704e-8,1.0113127284063845e-7
2.064569992656357e-8,4.4541984115743966e-8,6.21660760858045e-8,7.401518806512329e-8,8.222625420918437e-8,8.807202403227368e-8,9.238147704604232e-8,9.563961963178161e-8,9.816573661173823e-8,1.0016170891029962e-7,1.0176777034481177e-7
2.0663179893586522e-8,4.4600902867616515e-8,6.227943968078127e-8,7.418699808354779e-8,8.245549749524662e-8,8.835519686051629e-8,9.271414089124707e-8,9.60171237346031e-8,9.85836113775035e-8,1.0061581333589362e-7,1.0225436082184684e-7
2.067565112250639e-8,4.46435120418371e-8,6.236254449859164e-8,7.431450633478523e-8,8.262742136242667e-8,8.85694947662401e-8,9.29678806737236e-8,9.630706117865258e-8,9.890651859401474e-8,1.0096862177527452e-7,1.0263423800035086e-7
2.0684794421002755e-8,4.467511329823285e-8,6.242492909493001e-8,7.441127180061027e-8,8.275911326660131e-8,8.873497474576764e-8,9.316521003027838e-8,9.65339589870337e-8,9.916063248754474e-8,1.0124765645645793e-7,1.0293603087073369e-7
2.0691653945999823e-8,4.4699058225089226e-8,6.24727159393648e-8,7.448611852154366e-8,8.286182478638953e-8,8.886497614808901e-8,9.33212280468087e-8,9.671438303829665e-8,9.936373673480868e-8,1.0147171096751823e-7,1.0317937192309382e-7
2.0696902756818974e-8,4.4717540003441584e-8,6.250996580360573e-8,7.454497265205937e-8,8.294319381463158e-8,8.896863783635189e-8,9.344636025260605e-8,9.685984792854783e-8,9.952826246560626e-8,1.0165398594354395e-7,1.0337810806439812e-7
2.0700988515798613e-8,4.473203658991202e-8,6.253944848441135e-8,7.459192251226106e-8,8.300854156494807e-8,8.905238105047496e-8,9.354798537620276e-8,9.69785542264598e-8,9.966311058976003e-8,1.0180397705196572e-7,1.0354223966189785e-7
2.0704217111098904e-8,4.4743569568075866e-8,6.256309957565473e-8,7.462985491714713e-8,8.306165947721726e-8,8.912081705585311e-8,9.363143825126763e-8,9.707646578107377e-8,9.97747872020851e-8,1.0192865579732711e-7,1.0367913701024012e-7
2.070680252569128e-8,4.4752860909878185e-8,6.25823007339189e-8,7.466085024071913e-8,8.31053026503215e-8,8.917732108076697e-8,9.370064838867944e-8,9.715799959296103e-8,9.986813405827448e-8,1.0203323211584013e-7,1.0379432841274443e-7
2.0708897577313216e-8,4.476043093195847e-8,6.259805689250432e-8,7.468643495274207e-8,8.314150820670466e-8,8.922440557612032e-8,9.375855803304052e-8,9.722647996286804e-8,9.994681166275601e-8,1.0212166062443813e-7,1.0389202499366275e-7
2.0710613422497197e-8,4.47666612080676e-8,6.261111130878857e-8,7.47077472299782e-8,8.317180589996542e-8,8.926396900113377e-8,9.380740257752286e-8,9.728444474935686e-8,1.0001362650222773e-7,1.0219698483121133e-7,1.0397547864819923e-7
2.0712032251034388e-8,4.477183596616196e-8,6.262202201727471e-8,7.472564805008754e-8,8.319736055256617e-8,8.929746528215144e-8,9.384890272480966e-8,9.733385632218974e-8,1.000707574292739e-7,1.0226157614087773e-7,1.0404723135943534e-7
