Dl = 0,Dl = 1,Dl = 2,Dl = 3,Dl = 4,Dl = 5,Dl = 6,Dl = 7,Dl = 8,Dl = 9,Dl = 10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0068011743267224e-8,1.9973434148434843e-8,2.6262034961583458e-8,2.9976259509769484e-8,3.22945347094704e-8,3.3808087785272e-8,3.48460857401293e-8,3.558406880534704e-8,3.612685950201177e-8,3.653650564572741e-8,3.6853157563772325e-8
4.597885337223489e-8,9.469588059322239e-8,1.2714049456006354e-7,1.4699178478637515e-7,1.5967345235174541e-7,1.6809705938077755e-7,1.739472524856523e-7,1.781482341682607e-7,1.812622108376798e-7,1.836275305621348e-7,1.854655123648467e-7
5.088001496682364e-8,1.0666465231118532e-7,1.4508236406733078e-7,1.6916306491540906e-7,1.8484021941858778e-7,1.9540155859181337e-7,2.0282022732932214e-7,2.0819538091054464e-7,2.1220953590244e-7,2.1527727364242598e-7,2.176735726245782e-7
5.269840419117375e-8,1.1136041274932906e-7,1.523942472986059e-7,1.784831300312252e-7,1.956697772413241e-7,2.0736390900655208e-7,2.1564666240337847e-7,2.2169031574360744e-7,2.2623074270359914e-7,2.2971864641584954e-7,2.3245532619456687e-7
5.3476602598517936e-8,1.1350720310512449e-7,1.5589832033757286e-7,1.8311394611396722e-7,2.0120017012138325e-7,2.1360366900359407e-7,2.224491078073431e-7,2.289426108714748e-7,2.3384679982586724e-7,2.3763189778660534e-7,2.406140398342373e-7
5.3858178470504834e-8,1.1461418929178721e-7,1.5777553571092386e-7,1.856729771112381e-7,2.0433171696859317e-7,2.1720613554307595e-7,2.2643798168687566e-7,2.332494138058153e-7,2.3841688471935947e-7,2.424215681666687e-7,2.455882808371595e-7
5.406618371367664e-8,1.1524145918948648e-7,1.5887286534142141e-7,1.8720871230283922e-7,2.0625118557399407e-7,2.1945252368295194e-7,2.289604410676911e-7,2.3600468091832954e-7,2.41368996181419e-7,2.4554085687424536e-7,2.488503094560938e-7
5.418902986377432e-8,1.156234060074112e-7,1.5955857822865258e-7,1.881901168421597e-7,2.0750045739559622e-7,2.2093677530390856e-7,2.3064804182116314e-7,2.3786742728326736e-7,2.4338255925815126e-7,2.476845714699301e-7,2.511067257245415e-7
5.4266212647514805e-8,1.1586936414029419e-7,1.600099964018745e-7,1.888487412494821e-7,2.0835225939888933e-7,2.2196224826389032e-7,2.3182700296039482e-7,2.3918103447828927e-7,2.448139950994873e-7,2.4921914958416727e-7,2.52731760089039e-7
5.431714052887356e-8,1.1603497972452114e-7,1.6031981778083628e-7,1.893083631602663e-7,2.0895496553398488e-7,2.2269629722366097e-7,2.3267927027563362e-7,2.401386894204445e-7,2.458652109579643e-7,2.50353320299221e-7,2.5393952716924236e-7
5.435210444316732e-8,1.1615062660948834e-7,1.6053981804641868e-7,1.896395072158991e-7,2.0939448375243174e-7,2.2323709083027195e-7,2.3331269089589445e-7,2.4085587113889435e-7,2.4665772134157943e-7,2.5121339960994396e-7,2.548601868954599e-7
5.4376907688160574e-8,1.1623385609104904e-7,1.6070052248740522e-7,1.8988450071799528e-7,2.09723135702189e-7,2.2364514461339287e-7,2.33794403281417e-7,2.414050497746511e-7,2.4726828759167416e-7,2.5187961532983715e-7,2.555767790576935e-7
5.4394993345301504e-8,1.1629529987351653e-7,1.6082075358950826e-7,1.90069865880346e-7,2.099741476017919e-7,2.2395931850281487e-7,2.3416791783396823e-7,2.4183354897175394e-7,2.4774735197580075e-7,2.524049643485163e-7,2.5614439861965043e-7
5.440849290420641e-8,1.1634165857726668e-7,1.6091256459066602e-7,1.9021283473799907e-7,2.1016937235685446e-7,2.2420543344243675e-7,2.3446239303808993e-7,2.4217330911440264e-7,2.4812916348861113e-7,2.5282561109736356e-7,2.5660080149794997e-7
5.441877438910812e-8,1.1637730034810628e-7,1.6098392687789494e-7,1.903249545648001e-7,2.1032361778969812e-7,2.2440115088258772e-7,2.346979311457991e-7,2.4244649705601683e-7,2.484376253831096e-7,2.5316691665445976e-7,2.569725733412186e-7
5.44267434777613e-8,1.1640515693238299e-7,1.6104026111277416e-7,1.9041417219914651e-7,2.1044717889677288e-7,2.245588557164145e-7,2.348887317317795e-7,2.42668867930608e-7,2.4868981726187417e-7,2.534470849507828e-7,2.5727887230100816e-7
5.4433016128162583e-8,1.1642724656577042e-7,1.6108534398423144e-7,1.9048608513858186e-7,2.105473749335922e-7,2.246874226126046e-7,2.3504503853159216e-7,2.428518534014776e-7,2.4889819382003533e-7,2.5367944818355896e-7,2.575337826112398e-7
5.443802126587087e-8,1.1644498994064999e-7,1.6112186357572036e-7,1.905447174178846e-7,2.106295127137941e-7,2.2479333277808227e-7,2.351743792814246e-7,2.430038994881054e-7,2.490720003161422e-7,2.5387394390962836e-7,2.5774784064696783e-7
5.444206387287822e-8,1.1645940707261074e-7,1.6115176971154e-7,1.9059301475277088e-7,2.106975074346087e-7,2.248813996814663e-7,2.3528237699158e-7,2.4313134694870135e-7,2.4921820842747616e-7,2.540380954048659e-7,2.579290509921041e-7
5.4445364868020735e-8,1.1647124332448673e-7,1.6117650081921165e-7,1.9063316862715562e-7,2.1075429278422284e-7,2.2495525220271143e-7,2.3537329358301503e-7,2.432390244281968e-7,2.493421496165581e-7,2.5417767762226006e-7,2.580835787909898e-7
