Dl = 0,Dl = 1,Dl = 2,Dl = 3,Dl = 4,Dl = 5,Dl = 6,Dl = 7,Dl = 8,Dl = 9,Dl = 10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8227635362017407e-8,4.4297827915314866e-8,6.651561907334143e-8,8.251871717875088e-8,9.413836293241177e-8,1.0265991228617271e-7,1.0908869096055399e-7,1.1403427345679846e-7,1.1792675835408336e-7,1.2104123608556599e-7,1.2357655765630223e-7
4.071035390656419e-8,1.0046902609494555e-7,1.5232289467762582e-7,1.9049515612503924e-7,2.1862326075820603e-7,2.3950543943186047e-7,2.554064256141757e-7,2.677338034057246e-7,2.774973459964749e-7,2.8535121448326253e-7,2.9177355379677604e-7
4.547734155748683e-8,1.1145998412527091e-7,1.6817635668918455e-7,2.096536178079359e-7,2.4004846457129235e-7,2.625134598382894e-7,2.7955545587801733e-7,2.927257286327053e-7,3.031283280968748e-7,3.1147645526418665e-7,3.182886730228924e-7
4.664604132460544e-8,1.1403212983644837e-7,1.7178626174132146e-7,2.1394339126149944e-7,2.4479056531719356e-7,2.675638870192144e-7,2.848236884646147e-7,2.981522024279781e-7,3.086730814197506e-7,3.171116027351077e-7,3.2399439092658884e-7
4.7301553535468225e-8,1.1537639867455952e-7,1.736138953461505e-7,2.1608576538768464e-7,2.4714099152378e-7,2.700569002082429e-7,2.874176641614975e-7,3.0082007694177864e-7,3.113964473116033e-7,3.1987768602556197e-7,3.267939882058859e-7
4.749713335950029e-8,1.157688744109738e-7,1.7414428486264355e-7,2.1670402184512972e-7,2.4781688359087973e-7,2.7077192193611817e-7,2.881603430397898e-7,3.015829393417338e-7,3.1217448213610335e-7,3.2066739940625586e-7,3.275928843276375e-7
4.7665881514442784e-8,1.160982841088229e-7,1.745877005146304e-7,2.1722295333062547e-7,2.4838645417250696e-7,2.7137670796008395e-7,2.887903692155253e-7,3.022316577685903e-7,3.1283737544936987e-7,3.2134130889809524e-7,3.282755064553639e-7
4.7721245050805224e-8,1.1620261153680511e-7,1.7472639043664e-7,2.173836090188378e-7,2.485616729181612e-7,2.7156196845142147e-7,2.889828347464472e-7,3.024294629750387e-7,3.1303924915109716e-7,3.2154635512315836e-7,3.284830752484804e-7
4.7780281621215726e-8,1.1631302636642921e-7,1.7487412633203037e-7,2.1755612276279556e-7,2.4875099529137643e-7,2.7176309733120466e-7,2.891925368730024e-7,3.0264557630579474e-7,3.1326027850404876e-7,3.2177123502919985e-7,3.287110276230605e-7
4.780119268143669e-8,1.1635074868818631e-7,1.749239689422758e-7,2.1761376678663982e-7,2.4881388798466535e-7,2.7182966724418507e-7,2.8926178215197173e-7,3.027168304780641e-7,3.133330803278261e-7,3.218452561420526e-7,3.287860267285054e-7
4.7825957223435735e-8,1.1639557625760971e-7,1.7498402150850365e-7,2.1768405172394345e-7,2.48891242875585e-7,2.719120647853063e-7,2.893478950640838e-7,3.028057524287547e-7,3.1342417916864275e-7,3.219380739416115e-7,3.2888022736272343e-7
4.7835454796905276e-8,1.1641217783649744e-7,1.750059311804119e-7,2.1770939169859537e-7,2.489189256372149e-7,2.7194141165979893e-7,2.893784675806005e-7,3.028372554414749e-7,3.134564059712022e-7,3.2197087591017657e-7,3.2891349421948113e-7
4.784723959266454e-8,1.1643297701244694e-7,1.7503389576847328e-7,2.1774217510264456e-7,2.48955059377008e-7,2.719799506525233e-7,2.894187915788219e-7,3.0287893866092756e-7,3.13499151027999e-7,3.2201446587984436e-7,3.289577693365975e-7
4.7852122461935694e-8,1.1644130664633757e-7,1.7504489639357252e-7,2.1775490313358456e-7,2.4896898453570896e-7,2.71994736240002e-7,2.894342178740955e-7,3.0289485607760047e-7,3.1351545381385783e-7,3.220310772423238e-7,3.289746318700458e-7
4.7858322609547866e-8,1.1645204173509517e-7,1.7505941866628441e-7,2.1777196780828263e-7,2.489878348991957e-7,2.720148786820336e-7,2.8945532752372655e-7,3.0291670814127767e-7,3.135378901404794e-7,3.220539816999875e-7,3.289979182464773e-7
4.78610562136075e-8,1.1645661135144325e-7,1.750654614881752e-7,2.1777896197018558e-7,2.489954974582188e-7,2.720230264172566e-7,2.894638399211538e-7,3.0292550236696015e-7,3.1354690715311915e-7,3.2206317827062676e-7,3.2900726185460804e-7
4.786459831608091e-8,1.1646265526614623e-7,1.7507369045776946e-7,2.1778864571556219e-7,2.4900621081583725e-7,2.720344892965172e-7,2.89475867760032e-7,3.0293796718100927e-7,3.1355971835026876e-7,3.220762690805727e-7,3.2902058229577714e-7
4.786622772792433e-8,1.1646533196691e-7,1.7507723632404027e-7,2.177927512185619e-7,2.4901071453839016e-7,2.720392843869388e-7,2.894808835123716e-7,3.029431546375906e-7,3.1356504235636755e-7,3.2208170374206203e-7,3.290261080180597e-7
4.7868385414569505e-8,1.1646896987029058e-7,1.7508221950006835e-7,2.1779862119326203e-7,2.4901721825860737e-7,2.7204625292576864e-7,2.894882055518236e-7,3.029507525758431e-7,3.135728608778496e-7,3.2208970179037853e-7,3.290342545488335e-7
4.786940784054126e-8,1.1647062476728601e-7,1.7508441696432828e-7,2.1780116663018184e-7,2.490200142978092e-7,2.720492334831108e-7,2.89491326758204e-7,3.0295398386341096e-7,3.1357618015819907e-7,3.220930927157563e-7,3.2903770468168716e-7
