Dl = 0,Dl = 1,Dl = 2,Dl = 3,Dl = 4,Dl = 5,Dl = 6,Dl = 7,Dl = 8,Dl = 9,Dl = 10
4.556908840504352e-9,1.1074516803407079e-8,1.6623239638709243e-8,2.0623098152783346e-8,2.352798911422691e-8,2.565896429760872e-8,2.7266801177290833e-8,2.8503839181007602e-8,2.94775251615874e-8,3.025664050251143e-8,3.089089354938912e-8
4.556908840504351e-9,1.107427750509363e-8,1.6645900157213693e-8,2.064942272040083e-8,2.355439558973108e-8,2.568301939334661e-8,2.7288287428681586e-8,2.8522755913775618e-8,2.949418286932091e-8,3.027131457803144e-8,3.090387700813449e-8
-1.7896718107865448e-8,-4.8760240870202294e-8,-7.868214398473837e-8,-1.0237353561018388e-7,-1.2072411397967196e-7,-1.348330038504822e-7,-1.4586501629733122e-7,-1.5459156049483263e-7,-1.6161625560222453e-7,-1.673407836126087e-7,-1.7207323975026716e-7
-1.6218407317711855e-8,-4.527832120533571e-8,-7.40235893171262e-8,-9.698631421525047e-8,-1.1487664472942934e-7,-1.2868171909385872e-7,-1.3950513037808946e-7,-1.4808311762568309e-7,-1.5499873603098827e-7,-1.6064101873063792e-7,-1.653100473552692e-7
-1.4744974506167271e-8,-4.229093393746118e-8,-7.006227759232079e-8,-9.244794618044265e-8,-1.0997837595380834e-7,-1.2354912683843172e-7,-1.3421215989015416e-7,-1.4267641577369318e-7,-1.4950851740852313e-7,-1.5508788745376977e-7,-1.5970833951658197e-7
-1.4175596086638288e-8,-4.1164382151833203e-8,-6.858478188883381e-8,-9.07676205883955e-8,-1.0817262194538538e-7,-1.2166205582299085e-7,-1.322693017151024e-7,-1.4069385810491452e-7,-1.474966361804516e-7,-1.5305379084845744e-7,-1.5765697899513914e-7
-1.390120918849061e-8,-4.06386557814032e-8,-6.789887145164793e-8,-8.998863397286164e-8,-1.073357736013515e-7,-1.207872833473285e-7,-1.3136825248734642e-7,-1.3977389221063774e-7,-1.4656256084204925e-7,-1.521089187497381e-7,-1.5670364667496136e-7
-1.3749629838014362e-8,-4.035755357371187e-8,-6.75323806004242e-8,-8.957193028328301e-8,-1.0688764574687353e-7,-1.203183465671221e-7,-1.3088480709072722e-7,-1.3927992233328536e-7,-1.4606070104809697e-7,-1.516009868317018e-7,-1.56190937276688e-7
-1.36581119093443e-8,-4.01929487253712e-8,-6.73172777328662e-8,-8.932687486378962e-8,-1.066237185948885e-7,-1.200418361031103e-7,-1.3059949637105074e-7,-1.389882076482909e-7,-1.4576417751826247e-7,-1.5130075519479092e-7,-1.5588778438353245e-7
-1.3599266784613781e-8,-4.009001945763315e-8,-6.718221795487667e-8,-8.917270146425164e-8,-1.0645741833796561e-7,-1.198674172994728e-7,-1.3041939195819283e-7,-1.3880396328887016e-7,-1.4557682405305e-7,-1.5111100425476236e-7,-1.556961444811156e-7
-1.3559588908416066e-8,-4.002234102025893e-8,-6.70929609636445e-8,-8.907063948915018e-8,-1.0634717448331122e-7,-1.1975168364123222e-7,-1.302998108889519e-7,-1.3868158165216255e-7,-1.4545233984000097e-7,-1.5098489961140808e-7,-1.555687632901237e-7
-1.3531813144222285e-8,-3.997602541132931e-8,-6.703153917044224e-8,-8.900031495165563e-8,-1.0627112062228157e-7,-1.1967178032768855e-7,-1.302172080835341e-7,-1.385970144706444e-7,-1.4536629809980822e-7,-1.5089772189504052e-7,-1.5548069065399255e-7
-1.3511766507959892e-8,-3.994327412146542e-8,-6.698785839395032e-8,-8.89502592582625e-8,-1.0621693178161958e-7,-1.1961481185962825e-7,-1.3015828870778992e-7,-1.3853667526996936e-7,-1.4530489283265353e-7,-1.508354953032564e-7,-1.5541781680643163e-7
-1.3496925255812196e-8,-3.991947112309486e-8,-6.695593242416808e-8,-8.891365664116508e-8,-1.0617727281106838e-7,-1.1957309604880182e-7,-1.3011512746689815e-7,-1.3849246134884292e-7,-1.4525988793678043e-7,-1.5078988068443722e-7,-1.5537172136681513e-7
-1.348569774913059e-8,-3.990176345536582e-8,-6.693205091945914e-8,-8.888627377962096e-8,-1.061475816002062e-7,-1.1954185077046338e-7,-1.300827881416266e-7,-1.3845932427810108e-7,-1.4522615075854823e-7,-1.5075568045459603e-7,-1.553371556350207e-7
-1.3477044531146669e-8,-3.988832272933151e-8,-6.691382779751868e-8,-8.8865383036069e-8,-1.0612491509703873e-7,-1.1951798868041247e-7,-1.3005808242547457e-7,-1.384340024161593e-7,-1.4520036471178466e-7,-1.5072953575959525e-7,-1.5531072752562314e-7
-1.3470266331974129e-8,-3.987794035061931e-8,-6.689967977857088e-8,-8.884917142351855e-8,-1.0610731510023206e-7,-1.194994542113133e-7,-1.3003888671934797e-7,-1.3841432285737047e-7,-1.4518032000702013e-7,-1.5070920849047333e-7,-1.5529017668956294e-7
-1.3464880553847559e-8,-3.986979573510583e-8,-6.688852754171466e-8,-8.883640125111183e-8,-1.0609344362009241e-7,-1.1948484204654462e-7,-1.3002374873355426e-7,-1.383987993226366e-7,-1.4516450497015373e-7,-1.506931675034977e-7,-1.5527395670384842e-7
-1.3460546618908326e-8,-3.986331852784535e-8,-6.687961779411734e-8,-8.882620768006269e-8,-1.0608236506074962e-7,-1.194731690309395e-7,-1.3001165217300687e-7,-1.3838639155999296e-7,-1.451518614632969e-7,-1.506803409596235e-7,-1.5526098497940665e-7
-1.3457019399357073e-8,-3.985810400279042e-8,-6.687241377870041e-8,-8.881797390766001e-8,-1.0607341175986699e-7,-1.194637332664351e-7,-1.300018713035123e-7,-1.383763566100134e-7,-1.451416336691698e-7,-1.5066996319355863e-7,-1.5525048812186762e-7
-1.3454119352196823e-8,-3.9853859618665915e-8,-6.686652592544128e-8,-8.881125196845455e-8,-1.0606609857648765e-7,-1.194560245476763e-7,-1.2999387847450706e-7,-1.3836815421242786e-7,-1.4513327191105075e-7,-1.5066147731293718e-7,-1.5524190357143707e-7
