Dl = 0,Dl = 1,Dl = 2,Dl = 3,Dl = 4,Dl = 5,Dl = 6,Dl = 7,Dl = 8,Dl = 9,Dl = 10
4.556908840504352e-9,1.1074516803407079e-8,1.6623239638709243e-8,2.0623098152783346e-8,2.352798911422691e-8,2.565896429760872e-8,2.7266801177290833e-8,2.8503839181007602e-8,2.94775251615874e-8,3.025664050251143e-8,3.089089354938912e-8
4.556908840504332e-9,1.1070688030391898e-8,1.6985807934780427e-8,2.1044291234663096e-8,2.3950492722293612e-8,2.6043845829414998e-8,2.7610581199542867e-8,2.8806506905295823e-8,2.974404848532355e-8,3.0491425710831536e-8,3.1098628889315e-8
-1.9599550236565472e-7,-5.404949399580295e-7,-8.789272398446119e-7,-1.1493681345628335e-6,-1.3602850816910907e-6,-1.5231949469256643e-6,-1.651046796416476e-6,-1.7524486616125655e-6,-1.834258791483784e-6,-1.9010410435189206e-6,-1.956333028912742e-6
-1.7814869914920844e-7,-5.409938855375021e-7,-9.158367992842405e-7,-1.2192852171749614e-6,-1.4571356201205368e-6,-1.6408481066567938e-6,-1.7848406060805678e-6,-1.8987857939532229e-6,-1.9904955150904074e-6,-2.0651683626481335e-6,-2.1268425651190817e-6
-3.728610712739063e-8,-2.767471477687841e-7,-5.814994171623768e-7,-8.480542556311157e-7,-1.064979387409217e-6,-1.23603681874405e-6,-1.3718207462521098e-6,-1.4801818305161401e-6,-1.5679106839421539e-6,-1.639654840708222e-6,-1.6991053722615652e-6
1.7375120876630136e-7,1.2405347764686425e-7,-6.422199790595523e-8,-2.6538672908177983e-7,-4.426361715935791e-7,-5.882337122732349e-7,-7.066256270628761e-7,-8.026245315968537e-7,-8.812140604385947e-7,-9.460228123603817e-7,-1.0000717932013071e-6
4.3216408119060857e-7,6.058177707947067e-7,5.596798867895703e-7,4.402358408097323e-7,3.135113169842056e-7,2.009664630326444e-7,1.05474820767326e-7,2.597524325039853e-8,-4.0294180254525587e-8,-9.566415710951341e-8,-1.423088849520223e-7
7.259098200380724e-7,1.1400807922495908e-6,1.2534076648171104e-6,1.227197588175708e-6,1.158751167178495e-6,1.0847799864777556e-6,1.0161922356771059e-6,9.562112071500078e-7,9.045783730119436e-7,8.604733546255022e-7,8.226925143608378e-7
1.0474029350321941e-6,1.7101822039389427e-6,1.9964367242856113e-6,2.0723547721471738e-6,2.0682834692674814e-6,2.037233018055819e-6,1.9986779975416205e-6,1.9605507677867964e-6,1.9253297537110616e-6,1.893876771183831e-6,1.866061517143544e-6
1.3913913726914616e-6,2.3055987927155144e-6,2.7761289032358537e-6,2.961263798744526e-6,3.026557943674811e-6,3.0419565700030337e-6,3.035956571867585e-6,3.0215391237229023e-6,3.0041286536394153e-6,2.9864085096657757e-6,2.96941233941211e-6
1.7540312883102686e-6,2.9193469667030874e-6,3.584129511300202e-6,3.884161985670485e-6,4.022960534213847e-6,4.087706597973121e-6,4.1163276242619815e-6,4.127126159757277e-6,4.128656701519896e-6,4.125537216342421e-6,4.120044175671919e-6
2.1324042757669338e-6,3.5466231302565213e-6,4.41461637469835e-6,4.8340678370204416e-6,5.049816423944433e-6,5.166307862387625e-6,5.231263510566498e-6,5.2685266902462796e-6,5.289937673665332e-6,5.302140887344811e-6,5.308722035876677e-6
2.524234420264503e-6,4.1840298224852026e-6,5.263365454832182e-6,5.805781974615396e-6,6.101358873573566e-6,6.271592154791828e-6,6.374322548673869e-6,6.439108989970702e-6,6.481204298841832e-6,6.5093534454990476e-6,6.528505608292885e-6
2.927709355851565e-6,4.8291091224488266e-6,6.1272139805047654e-6,6.7953156366360035e-6,7.173140751290276e-6,7.398788483748544e-6,7.540521880778196e-6,7.633749507857338e-6,7.697236367773926e-6,7.741887326057136e-6,7.774058338130583e-6
3.3413609940075188e-6,5.480048961136372e-6,7.00373309291263e-6,7.799540556272403e-6,8.261668985638708e-6,8.544141406341699e-6,8.725942043897849e-6,8.848423325822322e-6,8.933938607464152e-6,8.995600077304137e-6,9.041204369236985e-6
3.763982899977791e-6,6.135491865474946e-6,7.891018367330866e-6,8.815961917214867e-6,9.364162098797408e-6,9.704655929334132e-6,9.927460397476397e-6,1.0079926830838646e-5,1.018805435056728e-5,1.0267200191939405e-5,1.0326627726280216e-5
4.194571320584758e-6,6.794406861213078e-6,8.787550351760135e-6,9.842564037106233e-6,1.0478381394732093e-5,1.0877918550557195e-5,1.1142562850685562e-5,1.1325681681431071e-5,1.145696323492111e-5,1.1554039464149444e-5,1.1627660252773637e-5
4.632282063147886e-6,7.456001608312541e-6,9.692098621837066e-6,1.0877701377222025e-5,1.1602509178562403e-5,1.2061967260529522e-5,1.2369206665822315e-5,1.2583592166130626e-5,1.2738534265328774e-5,1.285396259130765e-5,1.2942128505580552e-5
5.076398321205193e-6,8.119660876874392e-6,1.0603653931368402e-5,1.192001914076888e-5,1.2735058555689383e-5,1.3255194720791374e-5,1.3605718308441315e-5,1.3851939272265912e-5,1.4031017077584848e-5,1.4165196414873975e-5,1.4268241552141082e-5
5.5263062487089155e-6,8.784902679856128e-6,1.1521379095940963e-5,1.2968393967990769e-5,1.3874805269100118e-5,1.44562748329748e-5,1.4850716189700537e-5,1.5129300851809484e-5,1.5332960428507437e-5,1.548626740655027e-5,1.560450788558019e-5
5.9814761344698715e-6,9.451346488805548e-6,1.2444572715562993e-5,1.4021888745549936e-5,1.5020735381377966e-5,1.566410629173202e-5,1.610305152204077e-5,1.6414490795265766e-5,1.664315049698073e-5,1.6815939626092246e-5,1.6949673364203518e-5
