Dl = 0,Dl = 1,Dl = 2,Dl = 3,Dl = 4,Dl = 5,Dl = 6,Dl = 7,Dl = 8,Dl = 9,Dl = 10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.580131498840897e-8,1.0426448303101704e-7,1.4928332933607618e-7,1.7891934288249987e-7,1.9885018856614738e-7,2.1252957274433133e-7,2.222711789269213e-7,2.293936137444468e-7,2.347512441557279e-7,2.388670400657895e-7,2.4209615264169516e-7
1.8734075300387813e-7,4.016836812970242e-7,5.565811445849212e-7,6.554766261908444e-7,7.210007979017271e-7,7.656971362920772e-7,7.974846953552185e-7,8.207612653646203e-7,8.383279428248994e-7,8.518812843046643e-7,8.625680919556384e-7
3.6869619092607807e-7,7.476475205689169e-7,1.0016813623383662e-6,1.1534450953943462e-6,1.2487201890875992e-6,1.3107956387234494e-6,1.353227691408633e-6,1.3832382035294303e-6,1.4051969742762182e-6,1.421675895999713e-6,1.4343463638681936e-6
7.686301127491506e-7,1.4929223995075262e-6,1.9514217588918893e-6,2.2167795159484436e-6,2.3795701310980333e-6,2.4839614541327805e-6,2.554450480641895e-6,2.6038514813832212e-6,2.639735192490484e-6,2.66651134455898e-6,2.6870030541705045e-6
1.3286219209495584e-6,2.4877638205720155e-6,3.189961929319767e-6,3.586876822483219e-6,3.826433141193616e-6,3.978404203981875e-6,4.080218876861354e-6,4.151180439310454e-6,4.202510978464707e-6,4.240697486194093e-6,4.269853205756053e-6
2.052674960623353e-6,3.726166159128022e-6,4.707101091789928e-6,5.25223386949298e-6,5.577550008424887e-6,5.782470817369201e-6,5.919093813511054e-6,6.014012132505205e-6,6.082517945852078e-6,6.133405937196186e-6,6.172218503120506e-6
2.9434420321638717e-6,5.2035401292687886e-6,6.4964872504623645e-6,7.206224327143467e-6,7.626429322840382e-6,7.889892591638157e-6,8.0650198557772e-6,8.186469481402103e-6,8.274021680207104e-6,8.339014402863057e-6,8.388564615348707e-6
4.002785412551136e-6,6.916376182831143e-6,8.554011184730926e-6,9.444774315556463e-6,9.969183755819306e-6,1.0296973235163196e-5,1.0514458502920352e-5,1.0665135317210288e-5,1.0773696329450535e-5,1.0854265407963126e-5,1.0915685551471307e-5
5.232066367504394e-6,8.86195309399821e-6,1.0876916970500716e-5,1.1965228804686955e-5,1.260332014939428e-5,1.300136472870509e-5,1.326517361217394e-5,1.3447855577530217e-5,1.3579447392626249e-5,1.3677107760881515e-5,1.3751561928088136e-5
6.632311274256921e-6,1.1038127040131651e-5,1.3463297804562905e-5,1.4765768709586326e-5,1.5527148287009342e-5,1.600148533693641e-5,1.631566331089374e-5,1.6533185143201808e-5,1.6689869986053456e-5,1.6806165348088738e-5,1.689483849536361e-5
8.20431356897256e-6,1.3443183020059414e-5,1.6311798950032916e-5,1.7845093638261762e-5,1.8739470395209578e-5,1.9296219145744038e-5,1.966486964037443e-5,1.9920106277346375e-5,2.0103974488446528e-5,2.0240468508001853e-5,2.0344560022955978e-5
9.948699444247518e-6,1.6075729671456853e-5,1.942143592624161e-5,2.120223997300651e-5,2.2239407160951596e-5,2.2884749421329477e-5,2.331201860587001e-5,2.360787413074268e-5,2.3821036277820386e-5,2.3979306977238742e-5,2.4100026672017032e-5
1.1865971836346438e-5,1.8934623785519696e-5,2.2791479349152066e-5,2.483647158850115e-5,2.60262945400963e-5,2.6766460389799168e-5,2.725652639942657e-5,2.759592642971799e-5,2.7840507992155056e-5,2.8022144028375493e-5,2.8160709503768266e-5
1.3956540813700824e-5,2.201891527036349e-5,2.642137975066594e-5,2.874721144647999e-5,3.0099619462629403e-5,3.094087631005993e-5,3.1497941504195373e-5,3.188382784739303e-5,3.2161965523001834e-5,3.2368563611359764e-5,3.252619843680622e-5
1.6220745130771582e-5,2.5327806381732462e-5,3.0310717173759754e-5,3.2933997182149514e-5,3.4458978031461585e-5,3.540762202239858e-5,3.603590737039862e-5,3.6471234200396276e-5,3.6785073269952145e-5,3.701823634061087e-5,3.71961687453693e-5
1.8658867865955814e-5,2.8860621064950714e-5,3.4459166578470686e-5,3.739645131648151e-5,3.9104047336777866e-5,4.016639646832866e-5,4.087013746177925e-5,4.135786853529533e-5,4.170956093789186e-5,4.197089677925389e-5,4.217035867994686e-5
2.127114799279999e-5,3.261678157400992e-5,3.8866473600771525e-5,4.2134260689214214e-5,4.403456584621738e-5,4.521695436743983e-5,4.6000398044431115e-5,4.65435046389513e-5,4.693520753852068e-5,4.722632777660581e-5,4.7448554036231285e-5
2.4057789092452415e-5,3.65957904086996e-5,4.35324372508466e-5,4.714716188685977e-5,4.9250319392860586e-5,5.055909320878272e-5,5.1426495995446245e-5,5.20279553536807e-5,5.246183005387468e-5,5.2784349371205145e-5,5.3030577223739407e-5
2.701896601511668e-5,4.079721619176763e-5,4.8456897357653494e-5,5.2434930674344536e-5,5.4751130928768544e-5,5.619264380701816e-5,5.71482699620913e-5,5.781106409566892e-5,5.828927520786347e-5,5.8644810737837057e-5,5.8916279335133396e-5
3.015483004430368e-5,4.522068250499043e-5,5.3639725321961746e-5,5.799737416925899e-5,6.053685288277365e-5,6.21174633142465e-5,6.316558381880264e-5,6.389269856942707e-5,6.441741336875706e-5,6.480758422141162e-5,6.510553427274328e-5
