Dl = 0,Dl = 1,Dl = 2,Dl = 3,Dl = 4,Dl = 5,Dl = 6,Dl = 7,Dl = 8,Dl = 9,Dl = 10
2.3425059520239697e-8,4.2688071244022474e-8,5.339734100310902e-8,5.920745402226908e-8,6.262685678325445e-8,6.476863869965615e-8,6.619221853737176e-8,6.718042940155684e-8,6.789347933912312e-8,6.842340003414383e-8,6.882780047710101e-8
2.4021430809151273e-8,4.403910715492596e-8,5.53275472929312e-8,6.15153463397572e-8,6.518739395371599e-8,6.750176096277246e-8,6.904784251962735e-8,7.01253670067933e-8,7.090545524194981e-8,7.148677846749514e-8,7.193144561237665e-8
2.4115056519600764e-8,4.42754609063573e-8,5.5690627541475065e-8,6.197166398606152e-8,6.571137474694837e-8,6.807493198295495e-8,6.965756806109341e-8,7.076274023446976e-8,7.156418537843663e-8,7.216228033201204e-8,7.262034410785734e-8
2.4250830335025127e-8,4.461147629524724e-8,5.620022447777234e-8,6.260666673027722e-8,6.643648592223779e-8,6.886508016407134e-8,7.049584861155628e-8,7.16373073897118e-8,7.246672957063446e-8,7.308675943016134e-8,7.356232745965585e-8
2.425787748364452e-8,4.4631537699523185e-8,5.623422773211218e-8,6.265218726305386e-8,6.649117488651254e-8,6.892690547583904e-8,7.05632809327302e-8,7.170917178550432e-8,7.254214697448383e-8,7.316505380270411e-8,7.364298130777346e-8
2.4258861677861563e-8,4.4634589543845425e-8,5.623978443077523e-8,6.266004940629472e-8,6.650101992220708e-8,6.893839443612247e-8,7.057612517882467e-8,7.172313159696537e-8,7.255703058136382e-8,7.31807067280874e-8,7.365928003120145e-8
2.4259095581499516e-8,4.463535056388581e-8,5.624123569013724e-8,6.266218705961796e-8,6.650378076873168e-8,6.89416961499713e-8,7.057988885227528e-8,7.172728723274429e-8,7.256151895024764e-8,7.318547826350196e-8,7.366429366831884e-8
2.4259170315819057e-8,4.4635601029788136e-8,5.62417295931757e-8,6.266293679556806e-8,6.650477215251886e-8,6.894290441769118e-8,7.058128742650025e-8,7.172885107206675e-8,7.256322587572032e-8,7.318730908279821e-8,7.366623202446999e-8
2.4259198914394486e-8,4.463569888326064e-8,5.624192779778625e-8,6.266324493972377e-8,6.650518736089014e-8,6.894341821332349e-8,7.058188961202968e-8,7.172953146196636e-8,7.256397509798143e-8,7.318811877474354e-8,7.366709488877929e-8
2.425921127795169e-8,4.4635741862798855e-8,5.624201686897904e-8,6.266338619343683e-8,6.650538068905768e-8,6.894366047695763e-8,7.058217654110657e-8,7.172985853263483e-8,7.256433800608082e-8,7.318851356669301e-8,7.366751804192716e-8
2.425921712386697e-8,4.463576244639516e-8,5.624206039979694e-8,6.266345640906793e-8,6.650547807214522e-8,6.894378381769632e-8,7.058232393936086e-8,7.173002784700223e-8,7.256452713494223e-8,7.318872052489651e-8,7.366774102565854e-8
2.4259220087657967e-8,4.463577299343077e-8,5.624208311769027e-8,6.266349359837789e-8,6.650553024210036e-8,6.894385050217243e-8,7.058240425651441e-8,7.17301207339866e-8,7.256463151634598e-8,7.318883535654096e-8,7.366786534003392e-8
2.425922167756815e-8,4.4635778702539535e-8,5.6242095623348376e-8,6.266351433750812e-8,6.650555962513904e-8,6.894388836076727e-8,7.058245017055644e-8,7.173017415710369e-8,7.256469187771814e-8,7.318890208623499e-8,7.366793789911673e-8
2.4259222571548955e-8,4.463578193765389e-8,5.624210282084329e-8,6.266352641140692e-8,6.650557688032156e-8,6.894391074948939e-8,7.058247749070741e-8,7.173020612070601e-8,7.256472817292054e-8,7.318894239245048e-8,7.366798190651656e-8
2.425922309472848e-8,4.463578384372598e-8,5.624210712331124e-8,6.266353370279209e-8,6.650558738045015e-8,6.894392445827986e-8,7.058249431199701e-8,7.17302259002973e-8,7.256475073657601e-8,7.318896755531192e-8,7.366800948562082e-8
2.4259223411661127e-8,4.463578500524004e-8,5.624210978086589e-8,6.266353824765265e-8,6.650559396963484e-8,6.894393310881405e-8,7.058250498014088e-8,7.173023850297221e-8,7.256476517478534e-8,7.318898372024352e-8,7.366802726669964e-8
2.4259223609534667e-8,4.4635785734222854e-8,5.624211147011551e-8,6.266354116011055e-8,6.650559821745693e-8,6.894393871340627e-8,7.058251192385058e-8,7.173024674127564e-8,7.256477465079201e-8,7.318899436879677e-8,7.366803901961407e-8
2.425922373640992e-8,4.463578620382461e-8,5.6242112571406406e-8,6.266354307272923e-8,6.650560102189228e-8,6.894394243036908e-8,7.058251654853663e-8,7.173025225033501e-8,7.256478101134213e-8,7.318900154126677e-8,7.366804696121314e-8
2.425922381971361e-8,4.463578651344504e-8,5.624211330576115e-8,6.266354435644681e-8,6.650560291314859e-8,6.894394494740072e-8,7.058251969264487e-8,7.173025600986702e-8,7.2564785367305e-8,7.318900646935415e-8,7.366805243415687e-8
2.4259223875584364e-8,4.463578672188578e-8,5.6242113805447356e-8,6.266354523508947e-8,6.650560421314883e-8,6.894394668413623e-8,7.058252187007554e-8,7.173025862278574e-8,7.256478840484047e-8,7.318900991644722e-8,7.366805627319945e-8
2.425922391378179e-8,4.4635786864877266e-8,5.6242114151721896e-8,6.266354584720467e-8,6.65056051222853e-8,6.894394790298308e-8,7.058252340350516e-8,7.173026046909415e-8,7.25647905579365e-8,7.318901236694755e-8,7.366805900960497e-8
