Dl = 0,Dl = 1,Dl = 2,Dl = 3,Dl = 4,Dl = 5,Dl = 6,Dl = 7,Dl = 8,Dl = 9,Dl = 10
5.856264880059923e-9,1.0672017811005615e-8,1.3349335250777251e-8,1.480186350556723e-8,1.5656714195813378e-8,1.6192159674913366e-8,1.654805463434211e-8,1.6795107350388725e-8,1.697336983478041e-8,1.7105850008535746e-8,1.720695011927761e-8
6.452636168971498e-9,1.2023053721909103e-8,1.5279541540599434e-8,1.7109755823055354e-8,1.821725136627492e-8,1.8925281938029676e-8,1.9403678616597703e-8,1.974004495562519e-8,1.998534573760711e-8,2.0169228441887057e-8,2.0310595254553252e-8
9.446083565169285e-9,1.825567480845663e-8,2.3698014376301186e-8,2.687251708726688e-8,2.8841380320097776e-8,3.012244491903961e-8,3.0999210743420574e-8,3.1621800699255e-8,3.2079345628683596e-8,3.2424478332922984e-8,3.2691163888595954e-8
9.583751151036415e-9,1.859587592979134e-8,2.421303072357124e-8,2.7513257730763364e-8,2.9572124180395692e-8,3.0917929243259756e-8,3.184247700822862e-8,3.250100065645797e-8,3.2986194665066895e-8,3.3352965580815594e-8,3.363689233258731e-8
9.598249568482674e-9,1.863589642431423e-8,2.4278801833490622e-8,2.7599831589277554e-8,2.9674905654235366e-8,3.1033153883865874e-8,3.196735421483647e-8,3.263343604594028e-8,3.312463642768945e-8,3.349623744780551e-8,3.378410018641293e-8
9.600816407422211e-9,1.864350341130471e-8,2.4292049971297904e-8,2.761805547457086e-8,2.9697261517244598e-8,3.1058850419047547e-8,3.19957471711982e-8,3.2664011610398253e-8,3.315699329524295e-8,3.353005994340729e-8,3.381913988528527e-8
9.601444673920452e-9,1.8645458558467652e-8,2.4295609014556015e-8,2.7623129762880585e-8,2.9703658631398015e-8,3.1066362292837704e-8,3.2004188370256855e-8,3.267322588097182e-8,3.31668527442922e-8,3.354046058854125e-8,3.382999738383318e-8
9.601636275300215e-9,1.8646076328871803e-8,2.4296774529698085e-8,2.7624841995671983e-8,2.9705867861199648e-8,3.106900464151639e-8,3.2007201579060685e-8,3.267655468063842e-8,3.317044999480369e-8,3.354428677846962e-8,3.3834019619801675e-8
9.60170479129924e-9,1.86463032396184e-8,2.4297215734331827e-8,2.7625506934377155e-8,2.9706743077983938e-8,3.1070068195732084e-8,3.200843006348368e-8,3.267792622973887e-8,3.3171945272981235e-8,3.35458891080943e-8,3.3835714800911124e-8
9.601732437321406e-9,1.8646396732919895e-8,2.4297402342084233e-8,2.76257944631194e-8,2.9707128121827085e-8,3.107054257154607e-8,3.200898418305851e-8,3.267855066670007e-8,3.317263142096293e-8,3.3546629338346126e-8,3.383650248779202e-8
9.601744702713664e-9,1.86464389133686e-8,2.4297488507968513e-8,2.7625929823741962e-8,2.970731213161246e-8,3.107077199348203e-8,3.2009254820237716e-8,3.26788581717419e-8,3.317297170891823e-8,3.3546998692194354e-8,3.383689762003827e-8
9.60175057760663e-9,1.864645939633586e-8,2.429753123376184e-8,2.7625998096562254e-8,2.9707406166314426e-8,3.107089046014894e-8,3.20093957845639e-8,3.2679019518657385e-8,3.317315139718988e-8,3.35471948167125e-8,3.3837108466132265e-8
9.601753575153332e-9,1.864646996766822e-8,2.4297553708471552e-8,2.7626034554994704e-8,2.9707456961541223e-8,3.107095503726185e-8,3.2009473216349765e-8,3.2679108731653725e-8,3.317325132792412e-8,3.354730444759175e-8,3.3837226865005147e-8
9.60175518794324e-9,1.8646475710786367e-8,2.4297566133918064e-8,2.762605498300131e-8,2.9707485710949344e-8,3.107099188008582e-8,3.200951769552151e-8,3.267916028402355e-8,3.317330938020153e-8,3.3547368437381543e-8,3.383729626752105e-8
9.601756095813896e-9,1.8646478970644995e-8,2.4297573301911755e-8,2.7626066908657215e-8,2.970750264422816e-8,3.107101373396429e-8,3.200954424095493e-8,3.267919121805201e-8,3.317334438506035e-8,3.35474071932614e-8,3.3837338469975624e-8
9.601756627193565e-9,1.864648089242339e-8,2.4297577591827116e-8,2.7626074122147854e-8,2.9707512967312546e-8,3.107102714058763e-8,3.200956061599299e-8,3.2679210395595586e-8,3.317336618497885e-8,3.354743142925458e-8,3.3837364960755846e-8
9.601756948964304e-9,1.864648206347889e-8,2.429758024302251e-8,2.7626078622645767e-8,2.9707519452761616e-8,3.10710356106318e-8,3.200957101365604e-8,3.267922262907632e-8,3.3173380150341305e-8,3.354744701571496e-8,3.3837382057863597e-8
9.601757149721566e-9,1.8646482798183527e-8,2.429758192847464e-8,2.7626081508178907e-8,2.970752363668246e-8,3.107104110254538e-8,3.200957778665016e-8,3.2679230632252356e-8,3.317338932292159e-8,3.3547457290648145e-8,3.3837393366481004e-8
9.601757278341003e-9,1.8646483271215465e-8,2.4297583027211148e-8,2.7626083403633578e-8,2.9707526400160068e-8,3.1071044746625855e-8,3.200958230000815e-8,3.267923598690594e-8,3.317339548300738e-8,3.354746421496448e-8,3.3837401011560265e-8
9.601757362716969e-9,1.8646483582902788e-8,2.4297583759723104e-8,2.76260846759878e-8,2.9707528264313325e-8,3.1071047215132895e-8,3.20095853695376e-8,3.267923964243689e-8,3.317339970328365e-8,3.354746897433968e-8,3.383740628207444e-8
9.601757419257952e-9,1.8646483792597937e-8,2.4297584258030644e-8,2.7626085546882524e-8,2.9707529545904435e-8,3.1071048918774794e-8,3.200958749586796e-8,3.267924218378896e-8,3.317340264707117e-8,3.354747230442518e-8,3.383740998021501e-8
