Dl = 0,Dl = 1,Dl = 2,Dl = 3,Dl = 4,Dl = 5,Dl = 6,Dl = 7,Dl = 8,Dl = 9,Dl = 10
5.856264880059923e-9,1.0672017811005615e-8,1.3349335250777251e-8,1.480186350556723e-8,1.5656714195813378e-8,1.6192159674913366e-8,1.654805463434211e-8,1.6795107350388725e-8,1.697336983478041e-8,1.7105850008535746e-8,1.720695011927761e-8
1.5398205502645126e-8,3.228859238546141e-8,4.4232635887932154e-8,5.172814058537722e-8,5.662530892319804e-8,5.992211588477432e-8,6.223803835043154e-8,6.391410903417214e-8,6.516498428000758e-8,6.61199049421567e-8,6.686527228368791e-8
4.3114161300413165e-8,9.047767460262205e-8,1.234333761509593e-7,1.4404777774330435e-7,1.5746227848112074e-7,1.664816145660725e-7,1.7280908404548353e-7,1.773865354753152e-7,1.8080106861984274e-7,1.8340748029973668e-7,1.8544154616078575e-7
5.206319573389334e-8,1.1266503405278377e-7,1.5714168763452355e-7,1.8609392082224757e-7,2.0550757863960156e-7,2.1885976136860271e-7,2.2839546423690486e-7,2.3539218685147477e-7,2.406723282895531e-7,2.447415644834657e-7,2.4794304845828546e-7
5.536140725733844e-8,1.2178423129187232e-7,1.7216258931178282e-7,2.059011632561976e-7,2.2905454586811147e-7,2.452845338237221e-7,2.5705650615161025e-7,2.6580685335569665e-7,2.7248215886784937e-7,2.7767445570451694e-7,2.817918390687245e-7
5.6851770407819846e-8,1.262048632318686e-7,1.7987401332583264e-7,2.1652323054958018e-7,2.4209822219620236e-7,2.602889821530592e-7,2.736452481370022e-7,2.8367911688021544e-7,2.9140264080805484e-7,2.9745788807405634e-7,3.022922783136227e-7
5.7625975681067705e-8,1.286152898862169e-7,1.842672885795251e-7,2.2279369603310682e-7,2.500096803289469e-7,2.6958471157950887e-7,2.840957716090303e-7,2.950907972586474e-7,3.036168045572973e-7,3.1034543485807654e-7,3.157484293908418e-7
5.806941356501577e-8,1.300453943957877e-7,1.8696806066057568e-7,2.267648705086131e-7,2.551368549062611e-7,2.7572001084391827e-7,2.9109469152496684e-7,3.0282489397195196e-7,3.119764434112178e-7,3.192386677566558e-7,3.250986842628442e-7
5.8342299283814125e-8,1.3094924522088854e-7,1.887269252810582e-7,2.2941762416749662e-7,2.5863036064427816e-7,2.799669164231687e-7,2.9600158770416315e-7,3.083044198952239e-7,3.179513112239423e-7,3.256421787030851e-7,3.3187403928852553e-7
5.851971756123973e-8,1.3154926901042243e-7,1.899253488724408e-7,2.3126533764942046e-7,2.611058136861959e-7,2.830176346432577e-7,2.995659579072384e-7,3.123218014175008e-7,3.223663250191927e-7,3.304057134709377e-7,3.3694343791703596e-7
5.8640193264770065e-8,1.319635870900488e-7,1.9077219918954188e-7,2.3259639047204507e-7,2.6291591833057e-7,2.8527502907632385e-7,3.0222938500249136e-7,3.1534848054229873e-7,3.257160530106254e-7,3.340418934943664e-7,3.408337001533306e-7
5.87249415250164e-8,1.3225906042673065e-7,1.9138883645348673e-7,2.3358218208967803e-7,2.6427410627784776e-7,2.869864530308494e-7,3.0426613095717984e-7,3.1767999617669595e-7,3.2831285065833356e-7,3.368764424317597e-7,3.4388121962518015e-7
5.878632748713916e-8,1.324755424387138e-7,1.9184927632306843e-7,2.3432939797692952e-7,2.6531542726496634e-7,2.8831053296143617e-7,3.058539817445512e-7,3.1950961443462754e-7,3.303624366397771e-7,3.391251304801166e-7,3.4630989356131303e-7
5.883190185224109e-8,1.3263782677855232e-7,1.922005173812896e-7,2.3490704791760348e-7,2.661285647825834e-7,2.8935272874422933e-7,3.071123248223376e-7,3.209681830828434e-7,3.320050211000664e-7,3.409358244465422e-7,3.482738516648466e-7
5.886645863385955e-8,1.3276190420261124e-7,1.9247343876878085e-7,2.3536124846024587e-7,2.6677360735708236e-7,2.9018531110753085e-7,3.081237355302368e-7,3.221468889928579e-7,3.333389236015976e-7,3.424127435002998e-7,3.4988218952702724e-7
5.889314404191569e-8,1.3285841069685606e-7,1.9268893140983316e-7,2.3572368974124934e-7,2.672923734028621e-7,2.9085910168475845e-7,3.089467764926232e-7,3.2311085076374187e-7,3.344347601696457e-7,3.4363109605763166e-7,3.51213948369046e-7
5.891408253917181e-8,1.3293461174744237e-7,1.9286149238554773e-7,2.3601668156023664e-7,2.6771464777717134e-7,2.914106423046948e-7,3.0962388284885755e-7,3.239075531143324e-7,3.353442967695144e-7,3.4464625707737284e-7,3.5232754315976885e-7
5.89307446703096e-8,1.3299558749250746e-7,1.9300140822752485e-7,2.3625626586526136e-7,2.6806207749801175e-7,2.9186672048735554e-7,3.1018638245995795e-7,3.245722544428311e-7,3.3610615786556507e-7,3.4549971318089324e-7,3.532668930439446e-7
5.894417075771583e-8,1.3304496385530675e-7,1.9311612280213058e-7,2.3645419504094735e-7,2.683506775297205e-7,2.922473096291537e-7,3.106577844616593e-7,3.251315531276196e-7,3.3674961218231327e-7,3.462230229904829e-7,3.5406551977539634e-7
5.895511110869649e-8,1.3308537658698684e-7,1.932111180166325e-7,2.366192229702462e-7,2.685924845798971e-7,2.925675281176747e-7,3.110559877497521e-7,3.25605798047081e-7,3.3729714514046364e-7,3.468405195302372e-7,3.5474935389792497e-7
5.89641162648488e-8,1.331187732961019e-7,1.9329049475694183e-7,2.367579675912739e-7,2.687966737808994e-7,2.928389741887456e-7,3.113947969407891e-7,3.2601075333577463e-7,3.3776624426146215e-7,3.4737119319716545e-7,3.553386962579056e-7
