Dl = 0,Dl = 1,Dl = 2,Dl = 3,Dl = 4,Dl = 5,Dl = 6,Dl = 7,Dl = 8,Dl = 9,Dl = 10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1971223684149122e-14,2.7362171983981122e-14,3.7158784640953266e-14,4.168547032557898e-14,4.381007788122842e-14,4.491836026789532e-14,4.5562379559328475e-14,4.597479451409993e-14,4.625854550945359e-14,4.6465140622707154e-14,4.662197252090799e-14
4.131456947342292e-14,9.209602669164787e-14,1.2473217982500783e-13,1.4033417614830683e-13,1.4783393013907585e-13,1.516929669673486e-13,1.538372772915891e-13,1.5511936364236562e-13,1.5593463793776517e-13,1.5648157151610502e-13,1.5686538409554296e-13
6.110465438834757e-14,1.2919312900046563e-13,1.6921459739457761e-13,1.8680998605816518e-13,1.9461344313133967e-13,1.9830801890117782e-13,2.0017876198440665e-13,2.011847716754869e-13,2.0175299186172754e-13,2.0208800132150782e-13,2.0229363389267239e-13
8.426923790144011e-14,1.7365075153281631e-13,2.244969982880136e-13,2.4667369699056776e-13,2.5641302928005336e-13,2.609424238096394e-13,2.631775290369839e-13,2.643385622159757e-13,2.6496526086556186e-13,2.6531359789974033e-13,2.655118665252751e-13
1.0405654108949632e-13,2.0999983249389727e-13,2.68946645705574e-13,2.9456299572314057e-13,3.057504601690066e-13,3.1089944114057773e-13,3.1340246054170813e-13,3.146750209634861e-13,3.153411043880784e-13,3.156952605294557e-13,3.158842934884901e-13
1.2101455583957835e-13,2.4010425996378356e-13,3.053642428573651e-13,3.336832725294999e-13,3.4600548432299453e-13,3.516385992496246e-13,3.5435049788057e-13,3.5570892767119177e-13,3.5640400781110577e-13,3.5676084561896766e-13,3.569409817650799e-13
1.3564050256352135e-13,2.6536131432454333e-13,3.35693052670477e-13,3.661996614392745e-13,3.794373921723497e-13,3.8546102117362353e-13,3.8834136331858914e-13,3.8976838343091287e-13,3.904859020403464e-13,3.9084398601984507e-13,3.9101618843961336e-13
1.4834770164785122e-13,2.868091197774262e-13,3.6131260952337774e-13,3.936285377006891e-13,4.0762110428839597e-13,4.139672026422834e-13,4.169866571638164e-13,4.184699107670673e-13,4.1920546683888426e-13,4.1956417381268186e-13,4.197295257594744e-13
1.5946966821536441e-13,3.052232104767001e-13,3.8322357854983267e-13,4.1706145724777326e-13,4.3168731755304115e-13,4.3830466277133173e-13,4.4144113167049243e-13,4.4297144449084137e-13,4.437219558309048e-13,4.4408105053483594e-13,4.442405586176222e-13
1.6927323758618074e-13,3.211893487900797e-13,4.021665557281878e-13,4.373024567965499e-13,4.524674065886562e-13,4.593163630673274e-13,4.625527230096513e-13,4.641230887088749e-13,4.648863107549813e-13,4.652457325429812e-13,4.654002656330879e-13
1.7797202994971174e-13,3.3515569109260185e-13,4.1869990139749485e-13,4.549557852387467e-13,4.705853215550496e-13,4.776345215147775e-13,4.809572078670631e-13,4.825621490059158e-13,4.833363854609974e-13,4.836961443561163e-13,4.838464301702399e-13
1.8573788789860462e-13,3.4746965484367955e-13,4.3325174205717134e-13,4.704836806491001e-13,4.8651785839871e-13,4.937420081411734e-13,4.971400800981655e-13,4.987752267655481e-13,4.995591517177928e-13,4.999192804155013e-13,5.00065922282253e-13
1.9270997722849642e-13,3.58404015419796e-13,4.4615540246237563e-13,4.842453882792421e-13,5.00635250213342e-13,5.080136296574409e-13,5.114781280474641e-13,5.131399312571674e-13,5.139324777385424e-13,5.142930110561741e-13,5.144365088049545e-13
1.99001846044146e-13,3.681755320892199e-13,4.576740123365968e-13,4.965240986078372e-13,5.132291352658468e-13,5.207445410401506e-13,5.242680332272451e-13,5.259535652135727e-13,5.267538537666e-13,5.271148209228118e-13,5.272555900791748e-13
2.0470685265982124e-13,3.7695839029151153e-13,4.680179066509551e-13,5.075459179712918e-13,5.24532221442349e-13,5.321702031909614e-13,5.35746452381088e-13,5.374532644848773e-13,5.382605560819839e-13,5.386219786444467e-13,5.387603664274481e-13
2.0990233652931696e-13,3.848940217794634e-13,4.773571397083045e-13,5.174934707990385e-13,5.347323672099899e-13,5.424806634055649e-13,5.461043833123978e-13,5.478304028544755e-13,5.486440668755997e-13,5.490059590140809e-13,5.491422571976215e-13
2.1465283431094325e-13,3.9209836773223426e-13,4.858306273359243e-13,5.265158137052429e-13,5.439828330551571e-13,5.518309460835366e-13,5.554976156790859e-13,5.572410697275067e-13,5.580605614499437e-13,5.584229309836059e-13,5.585573861249713e-13
2.1901257353481395e-13,3.986673159083887e-13,4.935529233310398e-13,5.347357705097434e-13,5.524098587426269e-13,5.603487294362902e-13,5.640544509018544e-13,5.658138089221437e-13,5.666386531783881e-13,5.670015027763151e-13,5.671343243512492e-13
2.2302741896624137e-13,4.04680818185032e-13,5.00619309990837e-13,5.422554340246377e-13,5.601183420357889e-13,5.681400966570814e-13,5.718814849632626e-13,5.736554149579872e-13,5.744851939118089e-13,5.748485222000444e-13,5.749798891019209e-13
2.2673640262896426e-13,4.102060431506415e-13,5.071096697488747e-13,5.491603451365888e-13,5.671961490317017e-13,5.752938999795881e-13,5.790679959927677e-13,5.808553304402897e-13,5.816896741980772e-13,5.820534766980001e-13,5.821835424609047e-13
